path,language,speaker_id,PRR,length,sentence,keywords,non_keywords
10-007_20130124_01/10-007_20130124_01_7083.75_7089.81.mp3,es,370,100,6.06,con una manipulación absoluta del lenguaje y confirmarán una frase que leía no hace mucho tiempo,TRUE,FALSE
10-007_20130124_01/10-007_20130124_01_9033.42_9042.44.mp3,es,370,100,9.02,es en una manipulación absoluta del lenguaje y termino señora presidenta diciendo que el partido popular vasco,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_5719.35_5725.21.mp3,es,6,100,5.86,del gobierno es el mayor ataque y la mayor agresión contra el euskera y el sistema educativo vasco,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_6224.64_6234.38.mp3,es,6,100,9.74,la recentralización del estado y limitar nuestra capacidad para decidir en euskal herria nuestra propia educación un ataque en toda regla al euskera,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_7285.44_7290.87.mp3,es,290,98.8,5.43,lo mismo que defendemos que se pueda estudiar en euskera en euskadi por supuesto pensamos que también,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_7306.64_7316.87.mp3,es,290,100,10.23,del país una ley que supere el disparate de que tengamos diecisiete modelos educativos en españa una ley que ni siquiera tenga que hablar de derechos lingüísticos,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_7316.96_7323.67.mp3,es,290,100,6.71,porque dichos derechos lingüísticos estarán perfectamente respetados en cualquier lugar de españa una ley,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_7429.38_7433.51.mp3,es,290,100,4.13,decir que este borrador supone un ataque directo al euskera,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_7435.28_7441.45.mp3,es,290,98.85,6.17,derecho y eje de nuestro sistema educativo y solamente por defender la libertad de elección lingüística,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_7529.04_7539.19.mp3,es,290,100,10.15,aspectos competenciales y lingüísticos pero para nada hablan de la calidad de la educación que es algo en lo que todos deberíamos centrarnos nada más y gracias,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_8814.58_8818.93.mp3,es,6,92.31,4.35,es decir la cooficial el euskera el catalán está,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_8870.48_8875.51.mp3,es,6,94.29,5.04,disposición adicional treinta y nueve punto uno ahora del euskera sabe que dice bueno,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_8876.69_8881.88.mp3,es,6,100,5.2,del tema del euskera el tema de las lenguas de cada una de las comunidades,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_8978.57_8983.51.mp3,es,6,93.83,4.94,que tenemos que ser conscientes de eso zuk esan diozu hombre si cambiaran esto con el tema del euskera,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_9358.84_9368.47.mp3,es,99,100,9.63,del artículo dieciséis del estatuto y también les exigimos respeto a la legislación lingüística la comunidad autónoma de euskadi tiene dos lenguas oficiales,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_9486.12_9490.25.mp3,es,353,90,4.13,esta nueva ley en materia lingüística cuáles son las competencias que se invaden,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_9547.21_9553.91.mp3,es,353,100,6.7,por la constitución y en materia lingüística lo único que recoge esta ley son simplemente,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_9556.78_9561.20.mp3,es,353,100,4.42,sobre todo para que se cumpla la ley en aquellos sitios donde no se está cumpliendo la ley en materia lingüística,TRUE,FALSE
10-007_20130124_02/10-007_20130124_02_9701.62_9706.38.mp3,es,353,96.47,4.77,con las competencias de las comunidades autónomas que en materia lingüística desde luego a euskadi,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2008.34_2014.32.mp3,es,353,96.15,5.98,del tratamiento equilibrado de las dos lenguas oficiales de nuestra comunidad el euskera,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2082.70_2087.48.mp3,es,353,100,4.78,y el euskera asimismo también trata de estimular,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2160.29_2170.03.mp3,es,353,100,9.74,la garantía del bilingüismo y el contacto de los niños y niñas equilibrado con las dos lenguas el euskera,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2171.42_2181.34.mp3,es,353,100,9.92,ese proyecto educativo el de las escuelas infantiles del consorcio haurreskolak recoge en lo relativo al tratamiento lingüístico que,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2514.06_2523.27.mp3,es,353,100,9.21,personal de comprobarlo hemos llamado a escuelas infantiles para interesarnos de cual era su tratamiento lingüístico nos han explicado,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2539.10_2544.40.mp3,es,353,100,5.31,y nos han explicado que por supuesto que solo se habla a los niños en euskera que solo,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2561.37_2565.74.mp3,es,353,82.19,4.36,que ellos se preocupaban que no tuviesen ningún contacto y que todo se hacía en euskera eso,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_2656.68_2661.39.mp3,es,128,100,4.71,el debate lingüístico sobre la introducción del inglés en las haurreskolak,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_3439.43_3449.28.mp3,es,290,100,9.85,el euskera es por lo tanto prácticamente la única lengua en las haurreskolak y nosotros pensamos que esto hay que cambiarlo y por lo tanto todas las iniciativas que se planteen,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4310.27_4314.02.mp3,es,353,100,3.75,que se tendrá en cuenta la realidad socio lingüística,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4321.71_4327.52.mp3,es,353,97.56,5.81,en estos años no han respetado la realidad socio lingüística de cada zona han aplicado una tabla rasa,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4339.63_4344.42.mp3,es,353,100,4.79,con realidades socio lingüísticas radicalmente distintas se han aplicado,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4364.79_4369.65.mp3,es,353,100,4.86,a que en función de esa realidad socio lingüística preexistente en cada lugar,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4370.59_4378.87.mp3,es,353,100,8.28,el euskera tenga una mayor relevancia que sea determinante en esa actividad que rodea a los niños en esa etapa pero desde luego que no se,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4536.25_4546.56.mp3,es,128,100,10.31,a su propuesta el parlamento vasco insta al departamento de educación política lingüística y cultura a continuar en las haurreskolak con el tratamiento educativo asistencial,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4590.69_4595.75.mp3,es,128,97.01,5.07,más que se puede trabajar efectivamente en el euskera pero siempre obviamente,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4619.84_4623.62.mp3,es,128,100,3.78,en euskera porque esas criaturas van a ir sobre todo fundamentalmente,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4653.56_4658.45.mp3,es,128,100,4.89,y señora ubera y todo el grupo mire usted con el fundamentalismo lingüístico,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4915.25_4925.37.mp3,es,290,100,10.12,imposición más parlamentarios democráticos y menos parlamentarios que defienden la imposición y en concreto la imposición lingüística eso es lo que defiende,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4951.10_4961.12.mp3,es,290,100,10.02,la lengua de origen y ustedes consideran esto una imposición la imposición es lo suyo en todos los órdenes pero especialmente en el lingüístico,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4975.29_4985.17.mp3,es,290,100,9.87,de derechos lingüísticos ustedes han venido aplicando y defendiendo durante años políticas de imposición lingüística que efectivamente,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_4991.73_5002.00.mp3,es,290,100,10.27,modificar y en base a esas políticas lingüísticas en base a esa legalidad vigente ustedes siguen tratando de imponer el euskera,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_5010.73_5016.92.mp3,es,290,100,6.19,lingüístico el fascismo lingüístico que bildu aplica allí donde gobierna,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_5018.59_5028.54.mp3,es,290,100,9.95,fascismo lingüístico impidiendo por ejemplo que determinadas empresas puedan acceder a concursos públicos ese es su modelo el fascismo,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_5030.06_5035.95.mp3,es,290,100,5.89,lingüístico y por lo tanto el resto de grupos el resto de grupos lo que tenemos que hacer es defender,TRUE,FALSE
10-009_20130207_02/10-009_20130207_02_5049.89_5054.16.mp3,es,290,100,4.27,lingüístico esa es la realidad y nosotros y nosotros,TRUE,FALSE
10-009_20130207_03/10-009_20130207_03_2420.30_2429.70.mp3,es,275,100,9.4,un claro ejemplo de la manipulación que de los hechos y del lenguaje suele hacer el mundo de bildu resulta cuando menos curioso el título de la iniciativa,TRUE,FALSE
10-009_20130207_03/10-009_20130207_03_2445.94_2454.95.mp3,es,275,100,9.01,y nadie puede ser detenido por el ejercicio de un derecho fundamental siguiendo con la manipulación del lenguaje habla de que son juzgadas por defender sus derechos laborales,TRUE,FALSE
10-009_20130207_03/10-009_20130207_03_3960.67_3966.33.mp3,es,275,100,5.66,y que siguen teniendo siguen utilizando el mismo lenguaje,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5239.04_5244.29.mp3,es,189,100,5.24,a la hora de modificar los excesos de las políticas lingüísticas de los gobiernos nacionalistas anteriores,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5245.28_5252.25.mp3,es,189,94.87,6.97,es un hecho constatado que el euskera se ha valorado de forma desmesurada tanto en la asignación de los correspondientes perfiles lingüísticos,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5258.54_5263.69.mp3,es,189,100,5.15,y la formación es un hecho que el conocimiento del euskera se ha convertido,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5276.22_5280.16.mp3,es,189,95.65,3.94,paso a comentar alguna de ellas el euskera no era un plus,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5282.21_5289.93.mp3,es,189,100,7.72,de que alguien que obtenía un lugar treinta y cinco en las listas de contratación y que luego por el conocimiento y la valoración del euskera bajaba,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5319.28_5324.76.mp3,es,189,85.33,5.48,precisamente en aquellos lugares en donde la demanda del uso del euskera es menor,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5384.01_5394.02.mp3,es,189,100,10.01,progresiva del euskera en los diferentes ámbitos de la administración pero siempre claro está sin vulnerar otros derechos como es el derecho de acceso en condiciones de igualdad,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5400.76_5407.47.mp3,es,189,100,6.71,no da soluciones a la cuestión de fondo de la excesiva exigencia del euskera en relación con otros méritos,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5496.00_5505.81.mp3,es,189,97.55,9.81,realizar una valoración adecuada del conocimiento del euskera como mérito en las futuras opes de forma que se busque el equilibrio con la puntuación correspondiente a los meritos profesionales,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5551.64_5557.62.mp3,es,189,98.89,5.98,teniendo en cuanta la diversidad socio lingüística en el país vasco ustedes en su enmienda de transacción,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5668.31_5678.68.mp3,es,290,100,10.37,del euskera en nuestra opinión esto no es en absoluto prioritario sino todo lo contrario no podemos olvidar la situación de crisis económica en la que nos encontramos,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5678.89_5688.70.mp3,es,290,100,9.81,la situación de estrecheces presupuestarias en la que nos encontramos por lo tanto da la sensación de que para el fomento del euskera siempre hay recursos,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5712.15_5722.43.mp3,es,290,100,10.28,para qué al menos reflexionen en los próximos días o semanas cuánto dinero se ha gastado en euskadi para el fomento del euskera en las últimas,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5772.41_5782.41.mp3,es,290,100,10,que todos deberíamos tener para reflexionar sobre la materia sin embargo todo es insuficiente siempre para el fomento del uso del euskera,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5797.29_5807.59.mp3,es,290,100,10.3,de imposición lingüística nosotros defendemos políticas para el fomento del euskera obviamente otra cosa es que los recursos que se destinan para ello,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5831.42_5841.75.mp3,es,290,100,10.33,y qué hemos dejado de hacer para fomentar más más y más el uso del euskera nosotros pensamos que esto,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5855.56_5865.68.mp3,es,290,100,10.12,del euskera resultados ciertamente limitados como ustedes podrán conocer por algunas encuestas que se vienen realizando y además de todo ello,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5865.58_5870.97.mp3,es,290,100,5.39,políticas impositivas políticas de imposición lingüística que,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5937.77_5943.42.mp3,es,290,100,5.65,poco a poco con tranquilidad en el fomento y uso del euskera porque efectivamente,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_5981.21_5991.54.mp3,es,290,100,10.33,o con tranquilidad es justo todo lo contrario ustedes proponen y defienden políticas de imposición lingüística y por lo tanto nosotros vamos a decir que no,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_6062.50_6069.70.mp3,es,290,100,7.2,destinando millónes de euros al fomento del euskera y aplicando políticas de imposición lingüística creo que,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_6097.00_6107.23.mp3,es,290,100,10.23,hoy es acabar con las políticas de imposición lingüística y garantizar la mejor sanidad posible nosotros nos vamos a dedicar a ello,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_6110.53_6120.82.mp3,es,290,100,10.29,qué es lo que nosotros entendemos que es prioritario garantizar el derecho a la salud y acabar con las políticas de imposición lingüística que por otro lado han tenido unos resultados ciertamente,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7303.29_7307.26.mp3,es,309,93.18,3.97,de otras cuestiones de idioma los cursos los masters,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7363.79_7372.13.mp3,es,309,100,8.34,y se pueda debatir en la cámara sino que también vamos a poder ver al departamento de cultura y de política lingüística,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7378.80_7384.00.mp3,es,309,98.85,5.2,la misma valoración no tiene que tener el mismo perfil lingüístico ni los exámenes tiene que ser iguales,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7555.35_7562.24.mp3,es,189,99,6.89,de rumbo la política lingüística que estos señores nacionalistas habían llevado a cabo durante treinta años esa política,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7609.54_7618.10.mp3,es,189,98.88,8.56,con ustedes en méritos noventa y ocho puntos formación y experiencia ochenta y el euskera dieciocho es decir,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7642.85_7647.83.mp3,es,189,100,4.98,para cambiar una política lingüística y digo que tenía el soporte de dos acuerdos,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7648.17_7653.86.mp3,es,189,96.23,5.69,parlamentarios que le decían lo que le decían que tenía que haber una presencia equilibrada del euskera en relación con otros méritos,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7658.66_7667.81.mp3,es,189,93.13,9.15,de igualdad en el acceso a la función pública una presencia equilibrada con otros méritos y respetar también la realidad sociolingüística y la demanda,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7674.82_7679.42.mp3,es,189,100,4.6,teniendo una puntuación buena puntuación porque ha acreditado un determinado nivel de euskera,TRUE,FALSE
10-010_20130214_01/10-010_20130214_01_7687.36_7692.14.mp3,es,189,98.65,4.78,en los que la demanda del euskera pues sí hay demanda de atención en euskera en muchos pueblos,TRUE,FALSE
